time,value,date,log_passengers,lag_log_passengers,month,year,time_of_year
1949.0,112,1949-01-01,4.718498871295094,,1,1949,0.0
1949.08333333333,118,1949-02-01,4.770684624465665,,2,1949,0.08333333333333333
1949.16666666667,132,1949-03-01,4.882801922586371,,3,1949,0.16666666666666666
1949.25,129,1949-04-01,4.859812404361672,,4,1949,0.25
1949.33333333333,121,1949-05-01,4.795790545596741,,5,1949,0.3333333333333333
1949.41666666667,135,1949-06-01,4.90527477843843,,6,1949,0.4166666666666667
1949.5,148,1949-07-01,4.997212273764115,,7,1949,0.5
1949.58333333333,148,1949-08-01,4.997212273764115,,8,1949,0.5833333333333334
1949.66666666667,136,1949-09-01,4.912654885736052,,9,1949,0.6666666666666666
1949.75,119,1949-10-01,4.77912349311153,,10,1949,0.75
1949.83333333333,104,1949-11-01,4.6443908991413725,,11,1949,0.8333333333333334
1949.91666666667,118,1949-12-01,4.770684624465665,,12,1949,0.9166666666666666
1950.0,115,1950-01-01,4.74493212836325,4.718498871295094,1,1950,0.0
1950.08333333333,126,1950-02-01,4.836281906951478,4.770684624465665,2,1950,0.08333333333333333
1950.16666666667,141,1950-03-01,4.948759890378168,4.882801922586371,3,1950,0.16666666666666666
1950.25,135,1950-04-01,4.90527477843843,4.859812404361672,4,1950,0.25
1950.33333333333,125,1950-05-01,4.8283137373023015,4.795790545596741,5,1950,0.3333333333333333
1950.41666666667,149,1950-06-01,5.003946305945459,4.90527477843843,6,1950,0.4166666666666667
1950.5,170,1950-07-01,5.135798437050262,4.997212273764115,7,1950,0.5
1950.58333333333,170,1950-08-01,5.135798437050262,4.997212273764115,8,1950,0.5833333333333334
1950.66666666667,158,1950-09-01,5.062595033026967,4.912654885736052,9,1950,0.6666666666666666
1950.75,133,1950-10-01,4.890349128221754,4.77912349311153,10,1950,0.75
1950.83333333333,114,1950-11-01,4.736198448394496,4.6443908991413725,11,1950,0.8333333333333334
1950.91666666667,140,1950-12-01,4.941642422609304,4.770684624465665,12,1950,0.9166666666666666
1951.0,145,1951-01-01,4.976733742420574,4.74493212836325,1,1951,0.0
1951.08333333333,150,1951-02-01,5.0106352940962555,4.836281906951478,2,1951,0.08333333333333333
1951.16666666667,178,1951-03-01,5.181783550292085,4.948759890378168,3,1951,0.16666666666666666
1951.25,163,1951-04-01,5.093750200806762,4.90527477843843,4,1951,0.25
1951.33333333333,172,1951-05-01,5.147494476813453,4.8283137373023015,5,1951,0.3333333333333333
1951.41666666667,178,1951-06-01,5.181783550292085,5.003946305945459,6,1951,0.4166666666666667
1951.5,199,1951-07-01,5.293304824724492,5.135798437050262,7,1951,0.5
1951.58333333333,199,1951-08-01,5.293304824724492,5.135798437050262,8,1951,0.5833333333333334
1951.66666666667,184,1951-09-01,5.214935757608986,5.062595033026967,9,1951,0.6666666666666666
1951.75,162,1951-10-01,5.087596335232384,4.890349128221754,10,1951,0.75
1951.83333333333,146,1951-11-01,4.983606621708336,4.736198448394496,11,1951,0.8333333333333334
1951.91666666667,166,1951-12-01,5.111987788356544,4.941642422609304,12,1951,0.9166666666666666
1952.0,171,1952-01-01,5.14166355650266,4.976733742420574,1,1952,0.0
1952.08333333333,180,1952-02-01,5.19295685089021,5.0106352940962555,2,1952,0.08333333333333333
1952.16666666667,193,1952-03-01,5.262690188904886,5.181783550292085,3,1952,0.16666666666666666
1952.25,181,1952-04-01,5.198497031265826,5.093750200806762,4,1952,0.25
1952.33333333333,183,1952-05-01,5.209486152841421,5.147494476813453,5,1952,0.3333333333333333
1952.41666666667,218,1952-06-01,5.384495062789089,5.181783550292085,6,1952,0.4166666666666667
1952.5,230,1952-07-01,5.438079308923196,5.293304824724492,7,1952,0.5
1952.58333333333,242,1952-08-01,5.488937726156687,5.293304824724492,8,1952,0.5833333333333334
1952.66666666667,209,1952-09-01,5.342334251964811,5.214935757608986,9,1952,0.6666666666666666
1952.75,191,1952-10-01,5.25227342804663,5.087596335232384,10,1952,0.75
1952.83333333333,172,1952-11-01,5.147494476813453,4.983606621708336,11,1952,0.8333333333333334
1952.91666666667,194,1952-12-01,5.267858159063328,5.111987788356544,12,1952,0.9166666666666666
1953.0,196,1953-01-01,5.278114659230517,5.14166355650266,1,1953,0.0
1953.08333333333,196,1953-02-01,5.278114659230517,5.19295685089021,2,1953,0.08333333333333333
1953.16666666667,236,1953-03-01,5.4638318050256105,5.262690188904886,3,1953,0.16666666666666666
1953.25,235,1953-04-01,5.459585514144159,5.198497031265826,4,1953,0.25
1953.33333333333,229,1953-05-01,5.43372200355424,5.209486152841421,5,1953,0.3333333333333333
1953.41666666667,243,1953-06-01,5.493061443340548,5.384495062789089,6,1953,0.4166666666666667
1953.5,264,1953-07-01,5.575949103146316,5.438079308923196,7,1953,0.5
1953.58333333333,272,1953-08-01,5.605802066295998,5.488937726156687,8,1953,0.5833333333333334
1953.66666666667,237,1953-09-01,5.4680601411351315,5.342334251964811,9,1953,0.6666666666666666
1953.75,211,1953-10-01,5.351858133476067,5.25227342804663,10,1953,0.75
1953.83333333333,180,1953-11-01,5.19295685089021,5.147494476813453,11,1953,0.8333333333333334
1953.91666666667,201,1953-12-01,5.303304908059076,5.267858159063328,12,1953,0.9166666666666666
1954.0,204,1954-01-01,5.318119993844216,5.278114659230517,1,1954,0.0
1954.08333333333,188,1954-02-01,5.236441962829949,5.278114659230517,2,1954,0.08333333333333333
1954.16666666667,235,1954-03-01,5.459585514144159,5.4638318050256105,3,1954,0.16666666666666666
1954.25,227,1954-04-01,5.424950017481403,5.459585514144159,4,1954,0.25
1954.33333333333,234,1954-05-01,5.455321115357702,5.43372200355424,5,1954,0.3333333333333333
1954.41666666667,264,1954-06-01,5.575949103146316,5.493061443340548,6,1954,0.4166666666666667
1954.5,302,1954-07-01,5.71042701737487,5.575949103146316,7,1954,0.5
1954.58333333333,293,1954-08-01,5.680172609017068,5.605802066295998,8,1954,0.5833333333333334
1954.66666666667,259,1954-09-01,5.556828061699537,5.4680601411351315,9,1954,0.6666666666666666
1954.75,229,1954-10-01,5.43372200355424,5.351858133476067,10,1954,0.75
1954.83333333333,203,1954-11-01,5.313205979041787,5.19295685089021,11,1954,0.8333333333333334
1954.91666666667,229,1954-12-01,5.43372200355424,5.303304908059076,12,1954,0.9166666666666666
1955.0,242,1955-01-01,5.488937726156687,5.318119993844216,1,1955,0.0
1955.08333333334,233,1955-02-01,5.4510384535657,5.236441962829949,2,1955,0.08333333333333333
1955.16666666667,267,1955-03-01,5.58724865840025,5.459585514144159,3,1955,0.16666666666666666
1955.25,269,1955-04-01,5.594711379601839,5.424950017481403,4,1955,0.25
1955.33333333334,270,1955-05-01,5.598421958998375,5.455321115357702,5,1955,0.3333333333333333
1955.41666666667,315,1955-06-01,5.752572638825633,5.575949103146316,6,1955,0.4166666666666667
1955.5,364,1955-07-01,5.8971538676367405,5.71042701737487,7,1955,0.5
1955.58333333334,347,1955-08-01,5.849324779946859,5.680172609017068,8,1955,0.5833333333333334
1955.66666666667,312,1955-09-01,5.7430031878094825,5.556828061699537,9,1955,0.6666666666666666
1955.75,274,1955-10-01,5.6131281063880705,5.43372200355424,10,1955,0.75
1955.83333333334,237,1955-11-01,5.4680601411351315,5.313205979041787,11,1955,0.8333333333333334
1955.91666666667,278,1955-12-01,5.627621113690637,5.43372200355424,12,1955,0.9166666666666666
1956.0,284,1956-01-01,5.648974238161206,5.488937726156687,1,1956,0.0
1956.08333333334,277,1956-02-01,5.6240175061873385,5.4510384535657,2,1956,0.08333333333333333
1956.16666666667,317,1956-03-01,5.75890177387728,5.58724865840025,3,1956,0.16666666666666666
1956.25,313,1956-04-01,5.746203190540153,5.594711379601839,4,1956,0.25
1956.33333333334,318,1956-05-01,5.762051382780177,5.598421958998375,5,1956,0.3333333333333333
1956.41666666667,374,1956-06-01,5.924255797414532,5.752572638825633,6,1956,0.4166666666666667
1956.5,413,1956-07-01,6.023447592961033,5.8971538676367405,7,1956,0.5
1956.58333333334,405,1956-08-01,6.003887067106539,5.849324779946859,8,1956,0.5833333333333334
1956.66666666667,355,1956-09-01,5.872117789475416,5.7430031878094825,9,1956,0.6666666666666666
1956.75,306,1956-10-01,5.723585101952381,5.6131281063880705,10,1956,0.75
1956.83333333334,271,1956-11-01,5.602118820879701,5.4680601411351315,11,1956,0.8333333333333334
1956.91666666667,306,1956-12-01,5.723585101952381,5.627621113690637,12,1956,0.9166666666666666
1957.0,315,1957-01-01,5.752572638825633,5.648974238161206,1,1957,0.0
1957.08333333334,301,1957-02-01,5.707110264748875,5.6240175061873385,2,1957,0.08333333333333333
1957.16666666667,356,1957-03-01,5.87493073085203,5.75890177387728,3,1957,0.16666666666666666
1957.25,348,1957-04-01,5.8522024797744745,5.746203190540153,4,1957,0.25
1957.33333333334,355,1957-05-01,5.872117789475416,5.762051382780177,5,1957,0.3333333333333333
1957.41666666667,422,1957-06-01,6.045005314036012,5.924255797414532,6,1957,0.4166666666666667
1957.5,465,1957-07-01,6.142037405587356,6.023447592961033,7,1957,0.5
1957.58333333334,467,1957-08-01,6.1463292576688975,6.003887067106539,8,1957,0.5833333333333334
1957.66666666667,404,1957-09-01,6.0014148779611505,5.872117789475416,9,1957,0.6666666666666666
1957.75,347,1957-10-01,5.849324779946859,5.723585101952381,10,1957,0.75
1957.83333333334,305,1957-11-01,5.720311776607412,5.602118820879701,11,1957,0.8333333333333334
1957.91666666667,336,1957-12-01,5.817111159963204,5.723585101952381,12,1957,0.9166666666666666
1958.0,340,1958-01-01,5.8289456176102075,5.752572638825633,1,1958,0.0
1958.08333333334,318,1958-02-01,5.762051382780177,5.707110264748875,2,1958,0.08333333333333333
1958.16666666667,362,1958-03-01,5.8916442118257715,5.87493073085203,3,1958,0.16666666666666666
1958.25,348,1958-04-01,5.8522024797744745,5.8522024797744745,4,1958,0.25
1958.33333333334,363,1958-05-01,5.8944028342648505,5.872117789475416,5,1958,0.3333333333333333
1958.41666666667,435,1958-06-01,6.075346031088684,6.045005314036012,6,1958,0.4166666666666667
1958.5,491,1958-07-01,6.19644412779452,6.142037405587356,7,1958,0.5
1958.58333333334,505,1958-08-01,6.22455842927536,6.1463292576688975,8,1958,0.5833333333333334
1958.66666666667,404,1958-09-01,6.0014148779611505,6.0014148779611505,9,1958,0.6666666666666666
1958.75,359,1958-10-01,5.883322388488279,5.849324779946859,10,1958,0.75
1958.83333333334,310,1958-11-01,5.736572297479192,5.720311776607412,11,1958,0.8333333333333334
1958.91666666667,337,1958-12-01,5.820082930352362,5.817111159963204,12,1958,0.9166666666666666
1959.0,360,1959-01-01,5.886104031450156,5.8289456176102075,1,1959,0.0
1959.08333333334,342,1959-02-01,5.834810737062605,5.762051382780177,2,1959,0.08333333333333333
1959.16666666667,406,1959-03-01,6.0063531596017325,5.8916442118257715,3,1959,0.16666666666666666
1959.25,396,1959-04-01,5.981414211254481,5.8522024797744745,4,1959,0.25
1959.33333333334,420,1959-05-01,6.040254711277414,5.8944028342648505,5,1959,0.3333333333333333
1959.41666666667,472,1959-06-01,6.156978985585555,6.075346031088684,6,1959,0.4166666666666667
1959.5,548,1959-07-01,6.306275286948016,6.19644412779452,7,1959,0.5
1959.58333333334,559,1959-08-01,6.326149473155099,6.22455842927536,8,1959,0.5833333333333334
1959.66666666667,463,1959-09-01,6.137727054086234,6.0014148779611505,9,1959,0.6666666666666666
1959.75,407,1959-10-01,6.008813185442595,5.883322388488279,10,1959,0.75
1959.83333333334,362,1959-11-01,5.8916442118257715,5.736572297479192,11,1959,0.8333333333333334
1959.91666666667,405,1959-12-01,6.003887067106539,5.820082930352362,12,1959,0.9166666666666666
1960.0,417,1960-01-01,6.0330862217988015,5.886104031450156,1,1960,0.0
1960.08333333334,391,1960-02-01,5.968707559985366,5.834810737062605,2,1960,0.08333333333333333
1960.16666666667,419,1960-03-01,6.037870919922137,6.0063531596017325,3,1960,0.16666666666666666
1960.25,461,1960-04-01,6.133398042996649,5.981414211254481,4,1960,0.25
1960.33333333334,472,1960-05-01,6.156978985585555,6.040254711277414,5,1960,0.3333333333333333
1960.41666666667,535,1960-06-01,6.282266746896006,6.156978985585555,6,1960,0.4166666666666667
1960.5,622,1960-07-01,6.432940092739179,6.306275286948016,7,1960,0.5
1960.58333333334,606,1960-08-01,6.406879986069314,6.326149473155099,8,1960,0.5833333333333334
1960.66666666667,508,1960-09-01,6.230481447578482,6.137727054086234,9,1960,0.6666666666666666
1960.75,461,1960-10-01,6.133398042996649,6.008813185442595,10,1960,0.75
1960.83333333334,390,1960-11-01,5.966146739123692,5.8916442118257715,11,1960,0.8333333333333334
1960.91666666667,432,1960-12-01,6.068425588244111,6.003887067106539,12,1960,0.9166666666666666
